ts,p0,p1,p2,p3
14.7725520,-1.0483793,206.5594156,187.6281385,166.5156926
14.8204230,-1.0376545,206.7970610,188.5687011,167.6611606
14.8503420,-0.9264950,209.8229189,191.2685405,170.6283243
14.8832810,-0.6791194,209.7010781,190.7208973,171.3639334
14.9161910,-0.3710062,209.6648998,191.1008163,171.5979010
14.9503640,-0.1112392,208.9908943,190.4742547,171.4596206
14.9872690,0.0322845,209.3479651,190.8673556,171.8735351
15.0122020,0.0547428,209.5295546,191.4324467,173.2773908
15.0481050,-0.0173339,209.5385592,191.2671110,173.2652068
15.0769060,-0.1715858,208.0955789,191.4332632,173.2911579
15.1088200,-0.3274905,211.0811835,194.5737601,176.8562704
15.1387400,-0.3554924,211.2417107,195.1657867,177.0244984
15.1736450,-0.2649670,210.3630217,194.1395668,176.0874802
15.2205190,-0.1710434,210.8080679,194.3527601,175.9916136
15.2545880,-0.1368835,210.6345893,194.3145809,175.8320635
15.2845120,-0.1742174,210.4649022,194.5608327,175.9916309
15.3184210,-0.2748447,210.7726419,194.7234975,176.7523998
15.3483400,-0.4222659,210.9473301,194.7852691,176.1713069
15.3802540,-0.6030895,210.8581067,194.8018476,176.7516089
15.4141630,-0.8036421,210.9633826,194.8500682,176.7357045
15.4450790,-1.0016071,211.0315592,195.2097698,176.3177794
15.4740110,-1.1744392,210.8421978,195.1252070,176.7326159
15.5109120,-1.3272118,210.5825010,194.6104869,176.2566583
15.5388360,-1.4636523,211.0798171,195.3084598,176.4268343
15.5757360,-1.5727115,210.3969750,194.5865534,176.3495286
15.6186210,-1.6651410,210.5732966,194.5993462,176.2928798
15.6525450,-1.7471437,210.4319385,194.5210259,176.2781643
15.6824480,-1.8064628,210.6676355,194.5794063,176.1796761
15.7143620,-1.8397409,210.2208538,194.2108339,175.8891556
15.7482710,-1.8434974,211.0034031,194.6449417,176.6405074
15.7781900,-1.7947768,210.7953744,194.9973035,176.7118855
15.8120990,-1.6750991,210.9068362,195.1668404,176.8819300
15.8440340,-1.5085809,210.3978943,194.4532472,176.3162723
15.8789400,-1.3408695,210.7609086,194.5208663,176.7652404
15.9098560,-1.1891379,210.8885380,194.5355226,175.8085465
15.9437650,-1.0623864,210.4480025,193.8769816,175.2059818
15.9776730,-0.9842879,209.9812058,193.5563298,175.0437124
16.0206510,-0.9619275,210.0185185,193.2691073,174.9003425
16.0545590,-0.9834152,209.4980843,192.9399745,174.5768412
16.0846030,-1.0385563,209.1395423,192.3855860,173.6248931
16.1165170,-1.1093902,208.9794790,192.5332270,173.7771398
16.1524200,-1.1517127,209.7895695,192.8816663,174.1927608
16.1803440,-1.1371757,208.7445084,192.2101727,173.6279591
